sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3214905,1,1,1,1,2014-12-02 15:55:16,2014-12-02 15:56:10,0.9,0.0879,5.86,8.7,3,1,3,1,3,,8.68,1,0,0,1,0,HOME,HOME
3214905,1,2,1,2,2014-12-02 16:04:51,2014-12-02 16:09:48,4.95,0.505,6.12,34.8,3,1,3,1,3,28.088082,0.37,1,0,0,0,0,HOME,OTHER
3214905,1,3,1,3,2014-12-02 16:10:10,2014-12-02 16:16:57,6.78,1.5822,14.0,37.9,3,1,3,1,3,12.361349,1.3,1,0,1,0,1,OTHER,OTHER
3214905,1,4,1,4,2014-12-02 16:18:15,2014-12-02 16:20:59,2.73,0.4088,8.97,36.0,3,1,3,1,3,15.208537,4.63,1,0,0,0,0,OTHER,OTHER
3214905,1,5,1,5,2014-12-02 16:25:37,2014-12-02 16:33:54,8.28,1.479,10.71,42.3,3,1,3,1,3,7.280927,3.7,1,0,0,0,0,OTHER,HOME
3214905,1,6,1,6,2014-12-02 16:37:36,2014-12-02 16:38:32,0.93,0.0903,5.81,9.9,3,1,3,1,3,84.385387,1218.55,1,0,0,1,0,HOME,HOME
3214905,1,7,2,1,2014-12-03 12:57:05,2014-12-03 13:08:36,11.52,2.9454,15.34,40.4,3,1,3,1,3,20.990842,4.55,1,0,0,0,0,HOME,OTHER
3214905,1,8,2,2,2014-12-03 13:13:09,2014-12-03 13:17:46,4.62,1.2789,16.62,32.9,3,1,3,1,3,64.0252,0.1,1,0,0,0,0,OTHER,OTHER
3214905,1,9,2,3,2014-12-03 13:17:52,2014-12-03 13:24:52,7.0,1.4382,12.33,41.0,3,1,3,1,3,24.832074,5.33,1,0,0,0,0,OTHER,OTHER
3214905,1,10,2,4,2014-12-03 13:30:12,2014-12-03 13:31:09,0.95,0.1142,7.21,15.5,3,1,3,1,3,25.65382,86.7,1,0,0,0,0,OTHER,OTHER
3214905,1,11,2,5,2014-12-03 14:57:51,2014-12-03 15:04:20,6.48,1.9758,18.29,41.6,3,1,3,1,3,14.85831,1.92,1,0,0,0,0,OTHER,OTHER
3214905,1,12,2,6,2014-12-03 15:06:15,2014-12-03 15:06:58,0.72,0.094,7.87,13.0,3,1,3,1,3,25.402893,6.18,1,0,0,0,0,OTHER,OTHER
3214905,1,13,2,7,2014-12-03 15:13:09,2014-12-03 15:21:26,8.28,1.404,10.17,39.1,3,1,3,1,3,123.87699,6.48,1,0,0,0,0,OTHER,HOME
3214905,1,14,2,8,2014-12-03 15:27:55,2014-12-03 15:28:46,0.85,0.1003,7.08,13.0,3,1,3,1,3,18.366108,1227.12,1,0,0,1,0,HOME,HOME
3214905,1,15,3,1,2014-12-04 11:55:53,2014-12-04 12:11:53,16.0,3.9342,14.75,41.0,3,1,3,1,3,18.366259,7.38,1,0,0,0,0,HOME,OTHER
3214905,1,16,3,2,2014-12-04 12:19:16,2014-12-04 12:27:46,8.5,1.2665,8.94,40.4,3,1,3,1,3,6.939253,30.38,1,0,0,0,0,OTHER,OTHER
3214905,1,17,3,3,2014-12-04 12:58:09,2014-12-04 13:03:24,5.25,1.6721,19.11,41.6,3,1,3,1,3,116.361903,42.6,1,0,0,0,0,OTHER,OTHER
3214905,1,18,3,4,2014-12-04 13:46:00,2014-12-04 13:51:44,5.73,1.1136,11.65,32.3,3,1,3,1,3,62.136084,20.78,1,0,0,0,0,OTHER,HOME
3214905,1,19,3,5,2014-12-04 14:12:31,2014-12-04 14:13:33,1.03,0.1024,5.95,9.9,3,1,3,1,3,11.313641,0.0,1,0,0,1,0,HOME,HOME
