sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3254107,1,1,2,1,2014-12-03 09:10:16,2014-12-03 09:17:07,6.85,2.6834,23.5,51.6,3,1,3,1,3,,6.37,1,0,0,0,0,HOME,OTHER
3254107,1,2,2,2,2014-12-03 09:23:29,2014-12-03 09:29:48,6.32,2.6833,25.49,55.9,3,1,3,1,3,22.041666,609.05,1,0,0,0,0,OTHER,HOME
3254107,1,3,2,3,2014-12-03 19:38:51,2014-12-03 19:47:11,8.33,2.7738,19.97,44.1,3,1,3,1,3,259.283662,2.58,1,0,0,0,0,HOME,OTHER
3254107,1,4,2,4,2014-12-03 19:49:46,2014-12-03 19:55:26,5.67,1.3006,13.77,42.9,3,1,3,1,3,22.950705,6.43,1,0,0,0,0,OTHER,OTHER
3254107,1,5,2,5,2014-12-03 20:01:52,2014-12-03 20:07:14,5.37,1.458,16.3,37.9,3,1,3,1,3,106.232293,675.63,1,0,0,0,0,OTHER,HOME
3254107,1,6,3,1,2014-12-04 07:22:52,2014-12-04 07:57:06,34.23,19.1315,33.53,75.2,3,1,3,1,3,9.379306,33.08,1,0,0,0,0,HOME,OTHER
3254107,1,7,3,2,2014-12-04 08:30:11,2014-12-04 09:04:34,34.38,18.7011,32.63,70.8,3,1,3,1,3,3.640553,12.3,1,0,0,0,0,OTHER,OTHER
3254107,1,8,3,3,2014-12-04 09:16:52,2014-12-04 09:20:52,4.0,1.0352,15.53,39.1,3,1,3,1,3,28.763432,1377.08,1,0,0,0,0,OTHER,HOME
