sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3231915,2,1,1,1,2014-12-10 08:19:54,2014-12-10 08:27:47,7.88,3.7522,28.56,48.5,3,1,3,1,3,,421.73,1,0,0,0,0,HOME,WORK
3231915,2,2,1,2,2014-12-10 15:29:31,2014-12-10 15:40:10,10.65,3.63,20.45,49.1,3,1,3,1,3,36.880618,1021.42,1,0,0,0,0,WORK,HOME
3231915,2,3,2,1,2014-12-11 08:41:35,2014-12-11 08:51:06,9.52,3.769,23.76,52.2,3,1,3,1,3,14.767966,500.82,1,0,0,0,0,HOME,WORK
3231915,2,4,2,2,2014-12-11 17:11:55,2014-12-11 17:22:25,10.5,3.6404,20.8,45.4,3,1,3,1,3,9.577024,6.05,1,0,0,0,0,WORK,HOME
3231915,2,5,2,3,2014-12-11 17:28:28,2014-12-11 17:31:47,3.32,1.0991,19.88,40.4,3,1,3,1,3,65.631011,25.7,1,0,0,0,0,HOME,OTHER
3231915,2,6,2,4,2014-12-11 17:57:29,2014-12-11 18:00:23,2.9,1.1048,22.86,37.9,3,1,3,1,3,15.714512,877.32,1,0,0,0,0,OTHER,HOME
3231915,2,7,3,1,2014-12-12 08:37:42,2014-12-12 08:46:24,8.7,3.7021,25.53,50.3,3,1,3,1,3,11.814371,501.67,1,0,0,0,0,HOME,WORK
3231915,2,8,3,2,2014-12-12 17:08:04,2014-12-12 17:18:09,10.08,3.7119,22.09,46.0,3,1,3,1,3,18.202376,0.0,1,0,0,0,0,WORK,HOME
