sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3253537,2,1,1,1,2014-12-16 06:02:09,2014-12-16 06:13:33,11.4,0.5067,2.67,3.1,1,1,1,1,1,,14.65,1,0,1,0,1,HOME,HOME
3253537,2,2,1,2,2014-12-16 06:28:12,2014-12-16 06:48:10,19.97,7.9585,23.92,48.5,3,2,"3,1",2,"1,3",42.816514,433.62,1,0,0,0,0,HOME,WORK
3253537,2,3,1,3,2014-12-16 14:01:47,2014-12-16 14:28:54,27.12,8.2216,18.19,47.2,3,2,"1,3",2,"1,3",20.244591,961.83,1,0,0,0,0,WORK,HOME
3253537,2,4,2,1,2014-12-17 06:30:44,2014-12-17 06:50:36,19.87,7.948,24.0,47.8,3,2,"3,1",2,"1,3",39.036582,430.62,1,0,0,0,0,HOME,WORK
3253537,2,5,2,2,2014-12-17 14:01:13,2014-12-17 14:29:20,28.12,8.2213,17.54,49.7,3,2,"1,3",2,"1,3",27.756286,929.73,1,0,0,0,0,WORK,HOME
3253537,2,6,3,1,2014-12-18 05:59:04,2014-12-18 06:10:29,11.42,0.4999,2.63,3.1,1,1,1,1,1,30.444462,21.08,1,0,1,0,1,HOME,HOME
3253537,2,7,3,2,2014-12-18 06:31:34,2014-12-18 06:49:57,18.38,7.9417,25.92,49.1,3,2,"3,1",2,"1,3",20.752365,109.03,1,0,0,0,0,HOME,WORK
3253537,2,8,3,3,2014-12-18 08:38:59,2014-12-18 08:40:02,1.05,0.0342,1.95,2.5,1,1,1,1,1,406.000768,4.32,1,0,0,1,0,WORK,WORK
3253537,2,9,3,4,2014-12-18 08:44:21,2014-12-18 09:27:29,43.13,16.3647,22.76,47.8,3,1,3,1,3,15.714482,57.23,1,0,0,0,0,WORK,OTHER
3253537,2,10,3,5,2014-12-18 10:24:43,2014-12-18 10:35:48,11.08,4.2635,23.08,38.5,3,1,3,1,3,6.947099,50.17,1,0,0,0,0,OTHER,OTHER
3253537,2,11,3,6,2014-12-18 11:25:58,2014-12-18 11:51:50,25.87,11.2927,26.19,55.9,3,1,3,1,3,8.870508,139.12,1,0,0,0,0,OTHER,WORK
3253537,2,12,3,7,2014-12-18 14:10:57,2014-12-18 14:35:03,24.1,8.2412,20.52,48.5,3,2,"1,3",2,"1,3",287.3473,0.0,1,0,0,0,0,WORK,HOME
