sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3236888,1,1,1,1,2014-12-18 06:59:32,2014-12-18 07:21:38,22.1,18.8472,51.17,88.2,3,1,3,1,3,,3.12,1,0,0,0,0,OTHER,OTHER
3236888,1,2,1,2,2014-12-18 07:24:45,2014-12-18 07:31:41,6.93,2.222,19.23,57.8,3,1,3,1,3,152.894292,264.25,1,0,0,0,0,OTHER,OTHER
3236888,1,3,1,3,2014-12-18 11:55:56,2014-12-18 12:03:34,7.63,1.3247,10.41,34.2,3,2,"3,1",2,"1,3",288.033356,73.02,1,0,0,0,0,OTHER,OTHER
3236888,1,4,1,4,2014-12-18 13:16:35,2014-12-18 13:24:57,8.37,1.2534,8.99,31.1,3,2,"1,3",2,"1,3",101.078675,0.95,1,0,0,0,0,OTHER,OTHER
3236888,1,5,1,5,2014-12-18 13:25:54,2014-12-18 13:29:31,3.62,1.1165,18.52,49.1,3,1,3,1,3,31.512912,2.43,1,0,0,0,0,OTHER,OTHER
3236888,1,6,1,6,2014-12-18 13:31:57,2014-12-18 13:34:47,2.83,1.0929,23.14,52.2,3,1,3,1,3,56.166056,65.12,1,0,0,0,0,OTHER,OTHER
3236888,1,7,1,7,2014-12-18 14:39:54,2014-12-18 15:01:43,21.82,17.8624,49.13,82.0,3,1,3,1,3,26.159748,80.15,1,0,0,0,0,OTHER,OTHER
3236888,1,8,1,8,2014-12-18 16:21:52,2014-12-18 16:34:52,13.0,5.0619,23.36,49.7,3,1,3,1,3,14.562013,91.87,1,0,0,0,0,OTHER,OTHER
3236888,1,9,1,9,2014-12-18 18:06:44,2014-12-18 18:13:49,7.08,1.1392,9.65,41.6,3,2,"1,3",2,"1,3",183.966167,765.43,1,0,0,0,0,OTHER,HOME
3236888,1,10,2,1,2014-12-19 06:59:15,2014-12-19 07:26:42,27.45,19.3978,42.4,91.3,3,1,3,1,3,83.49384,0.33,1,0,0,0,0,HOME,OTHER
3236888,1,11,2,2,2014-12-19 07:27:02,2014-12-19 07:30:20,3.3,1.6658,30.29,52.8,3,1,3,1,3,8.864945,5.13,1,0,0,0,0,OTHER,OTHER
3236888,1,12,2,3,2014-12-19 07:35:28,2014-12-19 07:41:00,5.53,2.4197,26.24,64.6,3,1,3,1,3,135.396082,280.55,1,0,0,0,0,OTHER,OTHER
3236888,1,13,2,4,2014-12-19 12:21:33,2014-12-19 12:24:03,2.5,1.2783,30.68,44.7,3,1,3,1,3,507.21519,1.57,1,0,0,0,0,OTHER,OTHER
3236888,1,14,2,5,2014-12-19 12:25:37,2014-12-19 12:28:15,2.63,0.7875,17.94,50.3,3,1,3,1,3,32.23389,2.78,1,0,0,0,0,OTHER,OTHER
3236888,1,15,2,6,2014-12-19 12:31:02,2014-12-19 12:56:31,25.48,19.2753,45.38,89.5,3,1,3,1,3,178.111954,10.63,1,0,0,0,0,OTHER,HOME
3236888,1,16,2,7,2014-12-19 13:07:09,2014-12-19 13:24:50,17.68,10.5193,35.69,83.9,3,2,"3,1",2,"1,3",29.124306,154.5,1,0,0,0,0,HOME,OTHER
3236888,1,17,2,8,2014-12-19 15:59:20,2014-12-19 16:15:56,16.6,4.8772,17.63,51.6,3,2,"1,3",2,"1,3",64.516885,127.0,1,0,0,0,0,OTHER,OTHER
3236888,1,18,2,9,2014-12-19 18:22:56,2014-12-19 18:33:11,10.25,2.4229,14.18,49.1,3,1,3,1,3,144.370894,0.95,1,0,0,0,0,OTHER,OTHER
3236888,1,19,2,10,2014-12-19 18:34:08,2014-12-19 18:35:29,1.35,0.1125,5.0,9.3,3,1,3,1,3,48.146899,7.53,1,0,0,0,0,OTHER,OTHER
3236888,1,20,2,11,2014-12-19 18:43:01,2014-12-19 18:54:20,11.32,3.8688,20.51,55.3,3,1,3,1,3,22.041389,23.5,1,0,0,0,0,OTHER,OTHER
3236888,1,21,2,12,2014-12-19 19:17:50,2014-12-19 19:25:53,8.05,1.4542,10.84,44.1,3,2,"1,3",2,"1,3",41.252939,815.38,1,0,0,0,0,OTHER,HOME
3236888,1,22,3,1,2014-12-20 09:01:16,2014-12-20 09:11:08,9.87,2.6618,16.19,50.3,3,1,3,1,3,32.764844,1.43,1,0,0,0,0,HOME,OTHER
3236888,1,23,3,2,2014-12-20 09:12:34,2014-12-20 09:24:16,11.7,8.6753,44.49,76.4,3,1,3,1,3,105.76309,243.25,1,0,0,0,0,OTHER,OTHER
3236888,1,24,3,3,2014-12-20 13:27:31,2014-12-20 13:36:44,9.22,5.1587,33.58,75.2,3,1,3,1,3,174.825219,2.02,1,0,0,0,0,OTHER,OTHER
3236888,1,25,3,4,2014-12-20 13:38:45,2014-12-20 13:49:51,11.1,3.3421,18.07,48.5,3,1,3,1,3,23.89189,8.05,1,0,0,0,0,OTHER,OTHER
3236888,1,26,3,5,2014-12-20 13:57:54,2014-12-20 14:15:27,17.55,6.9827,23.87,53.4,3,2,"3,1",2,"1,3",20.241176,68.5,1,0,0,0,0,OTHER,OTHER
3236888,1,27,3,6,2014-12-20 15:23:57,2014-12-20 15:29:50,5.88,2.3671,24.14,55.3,3,1,3,1,3,121.44182,10.3,1,0,0,0,0,OTHER,OTHER
3236888,1,28,3,7,2014-12-20 15:40:08,2014-12-20 15:47:13,7.08,1.3829,11.71,44.7,3,1,3,1,3,18.440028,316.02,1,0,0,0,0,OTHER,OTHER
3236888,1,29,3,8,2014-12-20 21:03:14,2014-12-20 21:06:08,2.9,0.7713,15.96,43.5,3,1,3,1,3,1187.693564,0.0,1,0,0,0,0,OTHER,HOME
