sampno,perno,gpstripid,gpstravdayid,localid,time_local,gpsspeed
3232014,1,1,1,1,2014-12-19 06:40:35,3.2
3232014,1,1,1,2,2014-12-19 06:40:38,13.0
3232014,1,1,1,3,2014-12-19 06:40:41,22.4
3232014,1,1,1,4,2014-12-19 06:40:44,31.7
3232014,1,1,1,5,2014-12-19 06:40:47,32.9
3232014,1,1,1,6,2014-12-19 06:40:50,29.2
3232014,1,1,1,7,2014-12-19 06:40:53,19.3
3232014,1,1,1,8,2014-12-19 06:40:56,7.5
3232014,1,1,1,9,2014-12-19 06:41:04,1.9
3232014,1,1,1,10,2014-12-19 06:41:07,9.9
3232014,1,1,1,11,2014-12-19 06:41:10,16.2
3232014,1,1,1,12,2014-12-19 06:41:13,16.8
3232014,1,1,1,13,2014-12-19 06:41:16,21.1
3232014,1,1,1,14,2014-12-19 06:41:19,28.0
3232014,1,1,1,15,2014-12-19 06:41:22,29.8
3232014,1,1,1,16,2014-12-19 06:41:25,33.6
3232014,1,1,1,17,2014-12-19 06:41:28,34.8
3232014,1,1,1,18,2014-12-19 06:41:31,32.9
3232014,1,1,1,19,2014-12-19 06:41:34,29.2
3232014,1,1,1,20,2014-12-19 06:41:37,26.1
3232014,1,1,1,21,2014-12-19 06:41:40,16.2
3232014,1,1,1,22,2014-12-19 06:41:50,2.5
3232014,1,1,1,23,2014-12-19 06:41:53,2.5
3232014,1,1,1,24,2014-12-19 06:42:29,1.2
3232014,1,1,1,25,2014-12-19 06:42:32,9.9
3232014,1,1,1,26,2014-12-19 06:42:35,17.4
3232014,1,1,1,27,2014-12-19 06:42:38,19.3
3232014,1,1,1,28,2014-12-19 06:42:41,19.3
3232014,1,1,1,29,2014-12-19 06:42:44,21.7
3232014,1,1,1,30,2014-12-19 06:42:47,24.9
3232014,1,1,1,31,2014-12-19 06:42:50,21.7
3232014,1,1,1,32,2014-12-19 06:42:53,14.3
3232014,1,1,1,33,2014-12-19 06:42:56,13.0
3232014,1,1,1,34,2014-12-19 06:42:59,11.2
3232014,1,1,1,35,2014-12-19 06:43:02,8.7
3232014,1,1,1,36,2014-12-19 06:43:05,4.3
3232014,1,1,1,37,2014-12-19 06:43:08,9.9
3232014,1,1,1,38,2014-12-19 06:43:11,17.4
3232014,1,1,1,39,2014-12-19 06:43:14,23.0
3232014,1,1,1,40,2014-12-19 06:43:17,28.0
3232014,1,1,1,41,2014-12-19 06:43:20,31.7
3232014,1,1,1,42,2014-12-19 06:43:23,28.6
3232014,1,1,1,43,2014-12-19 06:43:26,20.5
3232014,1,1,1,44,2014-12-19 06:43:29,19.3
3232014,1,1,1,45,2014-12-19 06:43:32,16.8
3232014,1,1,1,46,2014-12-19 06:43:35,13.0
3232014,1,1,1,47,2014-12-19 06:43:38,16.2
3232014,1,1,1,48,2014-12-19 06:43:41,21.1
3232014,1,1,1,49,2014-12-19 06:43:44,23.0
3232014,1,1,1,50,2014-12-19 06:43:47,24.2
3232014,1,1,1,51,2014-12-19 06:43:50,24.2
3232014,1,1,1,52,2014-12-19 06:43:53,25.5
3232014,1,1,1,53,2014-12-19 06:43:56,26.1
3232014,1,1,1,54,2014-12-19 06:43:59,27.3
3232014,1,1,1,55,2014-12-19 06:44:02,29.2
3232014,1,1,1,56,2014-12-19 06:44:05,29.8
3232014,1,1,1,57,2014-12-19 06:44:08,28.6
3232014,1,1,1,58,2014-12-19 06:44:11,28.6
3232014,1,1,1,59,2014-12-19 06:44:14,34.2
3232014,1,1,1,60,2014-12-19 06:44:17,37.3
3232014,1,1,1,61,2014-12-19 06:44:20,47.8
3232014,1,1,1,62,2014-12-19 06:44:23,52.8
3232014,1,1,1,63,2014-12-19 06:44:26,53.4
3232014,1,1,1,64,2014-12-19 06:44:29,55.3
3232014,1,1,1,65,2014-12-19 06:44:32,55.9
3232014,1,1,1,66,2014-12-19 06:44:35,57.2
3232014,1,1,1,67,2014-12-19 06:44:38,58.4
3232014,1,1,1,68,2014-12-19 06:44:41,58.4
3232014,1,1,1,69,2014-12-19 06:44:44,54.1
3232014,1,1,1,70,2014-12-19 06:44:47,52.2
3232014,1,1,1,71,2014-12-19 06:44:50,49.1
3232014,1,1,1,72,2014-12-19 06:44:53,48.5
3232014,1,1,1,73,2014-12-19 06:44:56,49.7
3232014,1,1,1,74,2014-12-19 06:44:59,51.0
3232014,1,1,1,75,2014-12-19 06:45:02,52.2
3232014,1,1,1,76,2014-12-19 06:45:05,49.7
3232014,1,1,1,77,2014-12-19 06:45:08,45.4
3232014,1,1,1,78,2014-12-19 06:45:11,42.9
3232014,1,1,1,79,2014-12-19 06:45:14,43.5
3232014,1,1,1,80,2014-12-19 06:45:17,44.1
3232014,1,1,1,81,2014-12-19 06:45:20,46.6
3232014,1,1,1,82,2014-12-19 06:45:23,49.1
3232014,1,1,1,83,2014-12-19 06:45:26,50.3
3232014,1,1,1,84,2014-12-19 06:45:29,49.7
3232014,1,1,1,85,2014-12-19 06:45:32,50.3
3232014,1,1,1,86,2014-12-19 06:45:35,52.2
3232014,1,1,1,87,2014-12-19 06:45:38,51.6
3232014,1,1,1,88,2014-12-19 06:45:41,51.0
3232014,1,1,1,89,2014-12-19 06:45:44,52.2
3232014,1,1,1,90,2014-12-19 06:45:47,51.6
3232014,1,1,1,91,2014-12-19 06:45:50,52.8
3232014,1,1,1,92,2014-12-19 06:45:53,52.8
3232014,1,1,1,93,2014-12-19 06:45:56,54.7
3232014,1,1,1,94,2014-12-19 06:45:59,54.7
3232014,1,1,1,95,2014-12-19 06:46:02,54.7
3232014,1,1,1,96,2014-12-19 06:46:05,54.7
3232014,1,1,1,97,2014-12-19 06:46:08,55.9
3232014,1,1,1,98,2014-12-19 06:46:11,56.5
3232014,1,1,1,99,2014-12-19 06:46:14,59.0
3232014,1,1,1,100,2014-12-19 06:46:17,60.9
3232014,1,1,1,101,2014-12-19 06:46:20,61.5
3232014,1,1,1,102,2014-12-19 06:46:23,60.9
3232014,1,1,1,103,2014-12-19 06:46:26,61.5
3232014,1,1,1,104,2014-12-19 06:46:29,62.1
3232014,1,1,1,105,2014-12-19 06:46:32,62.8
3232014,1,1,1,106,2014-12-19 06:46:35,63.4
3232014,1,1,1,107,2014-12-19 06:46:38,64.6
3232014,1,1,1,108,2014-12-19 06:46:41,65.2
3232014,1,1,1,109,2014-12-19 06:46:44,65.2
3232014,1,1,1,110,2014-12-19 06:46:47,65.2
3232014,1,1,1,111,2014-12-19 06:46:50,65.2
3232014,1,1,1,112,2014-12-19 06:46:53,65.2
3232014,1,1,1,113,2014-12-19 06:46:56,64.0
3232014,1,1,1,114,2014-12-19 06:46:59,64.6
3232014,1,1,1,115,2014-12-19 06:47:02,62.1
3232014,1,1,1,116,2014-12-19 06:47:05,60.3
3232014,1,1,1,117,2014-12-19 06:47:08,61.5
3232014,1,1,1,118,2014-12-19 06:47:11,62.1
3232014,1,1,1,119,2014-12-19 06:47:14,62.1
3232014,1,1,1,120,2014-12-19 06:47:17,62.8
3232014,1,1,1,121,2014-12-19 06:47:20,63.4
3232014,1,1,1,122,2014-12-19 06:47:23,64.6
3232014,1,1,1,123,2014-12-19 06:47:26,65.2
3232014,1,1,1,124,2014-12-19 06:47:29,64.6
3232014,1,1,1,125,2014-12-19 06:47:32,63.4
3232014,1,1,1,126,2014-12-19 06:47:35,62.8
3232014,1,1,1,127,2014-12-19 06:47:38,62.8
3232014,1,1,1,128,2014-12-19 06:47:41,61.5
3232014,1,1,1,129,2014-12-19 06:47:44,62.1
3232014,1,1,1,130,2014-12-19 06:47:47,62.1
3232014,1,1,1,131,2014-12-19 06:47:50,60.3
3232014,1,1,1,132,2014-12-19 06:47:53,58.4
3232014,1,1,1,133,2014-12-19 06:47:56,56.5
3232014,1,1,1,134,2014-12-19 06:47:59,56.5
3232014,1,1,1,135,2014-12-19 06:48:02,56.5
3232014,1,1,1,136,2014-12-19 06:48:05,53.4
3232014,1,1,1,137,2014-12-19 06:48:08,51.6
3232014,1,1,1,138,2014-12-19 06:48:11,50.3
3232014,1,1,1,139,2014-12-19 06:48:14,49.7
3232014,1,1,1,140,2014-12-19 06:48:17,48.5
3232014,1,1,1,141,2014-12-19 06:48:20,47.2
3232014,1,1,1,142,2014-12-19 06:48:23,50.3
3232014,1,1,1,143,2014-12-19 06:48:26,51.6
3232014,1,1,1,144,2014-12-19 06:48:29,51.0
3232014,1,1,1,145,2014-12-19 06:48:29,46.7
3232014,1,1,1,146,2014-12-19 06:48:32,36.0
3232014,1,1,1,147,2014-12-19 06:48:35,22.4
3232014,1,1,1,148,2014-12-19 06:48:38,7.5
3232014,1,1,1,149,2014-12-19 06:49:02,1.9
3232014,1,1,1,150,2014-12-19 06:49:05,15.5
3232014,1,1,1,151,2014-12-19 06:49:08,28.0
3232014,1,1,1,152,2014-12-19 06:49:11,37.3
3232014,1,1,1,153,2014-12-19 06:49:14,41.0
3232014,1,1,1,154,2014-12-19 06:49:17,41.6
3232014,1,1,1,155,2014-12-19 06:49:20,39.8
3232014,1,1,1,156,2014-12-19 06:49:23,36.7
3232014,1,1,1,157,2014-12-19 06:49:26,30.4
3232014,1,1,1,158,2014-12-19 06:49:29,21.7
3232014,1,1,1,159,2014-12-19 06:49:32,10.6
3232014,1,1,1,160,2014-12-19 06:50:20,1.9
3232014,1,1,1,161,2014-12-19 06:50:23,12.4
3232014,1,1,1,162,2014-12-19 06:50:26,23.0
3232014,1,1,1,163,2014-12-19 06:50:29,31.1
3232014,1,1,1,164,2014-12-19 06:50:32,37.3
3232014,1,1,1,165,2014-12-19 06:50:35,41.6
3232014,1,1,1,166,2014-12-19 06:50:38,45.4
3232014,1,1,1,167,2014-12-19 06:50:41,47.2
3232014,1,1,1,168,2014-12-19 06:50:44,48.5
3232014,1,1,1,169,2014-12-19 06:50:47,48.5
3232014,1,1,1,170,2014-12-19 06:50:50,48.5
3232014,1,1,1,171,2014-12-19 06:50:53,49.1
3232014,1,1,1,172,2014-12-19 06:50:56,49.1
3232014,1,1,1,173,2014-12-19 06:50:59,49.1
3232014,1,1,1,174,2014-12-19 06:51:02,47.8
3232014,1,1,1,175,2014-12-19 06:51:05,47.2
3232014,1,1,1,176,2014-12-19 06:51:08,46.0
3232014,1,1,1,177,2014-12-19 06:51:11,44.7
3232014,1,1,1,178,2014-12-19 06:51:14,41.0
3232014,1,1,1,179,2014-12-19 06:51:17,34.8
3232014,1,1,1,180,2014-12-19 06:51:20,25.5
3232014,1,1,1,181,2014-12-19 06:51:23,13.7
3232014,1,1,1,182,2014-12-19 06:51:26,3.1
3232014,1,1,1,183,2014-12-19 06:51:58,3.1
3232014,1,1,1,184,2014-12-19 06:52:01,15.5
3232014,1,1,1,185,2014-12-19 06:52:04,23.6
3232014,1,1,1,186,2014-12-19 06:52:07,33.6
3232014,1,1,1,187,2014-12-19 06:52:10,39.8
3232014,1,1,1,188,2014-12-19 06:52:13,41.0
3232014,1,1,1,189,2014-12-19 06:52:16,43.5
3232014,1,1,1,190,2014-12-19 06:52:19,44.1
3232014,1,1,1,191,2014-12-19 06:52:22,42.9
3232014,1,1,1,192,2014-12-19 06:52:25,41.0
3232014,1,1,1,193,2014-12-19 06:52:28,41.0
3232014,1,1,1,194,2014-12-19 06:52:31,39.1
3232014,1,1,1,195,2014-12-19 06:52:34,33.6
3232014,1,1,1,196,2014-12-19 06:52:37,23.6
3232014,1,1,1,197,2014-12-19 06:52:40,13.0
3232014,1,1,1,198,2014-12-19 06:52:43,1.9
3232014,1,1,1,199,2014-12-19 06:52:59,1.2
3232014,1,1,1,200,2014-12-19 06:53:02,13.7
3232014,1,1,1,201,2014-12-19 06:53:05,26.1
3232014,1,1,1,202,2014-12-19 06:53:08,33.6
3232014,1,1,1,203,2014-12-19 06:53:11,37.9
3232014,1,1,1,204,2014-12-19 06:53:14,41.0
3232014,1,1,1,205,2014-12-19 06:53:17,42.9
3232014,1,1,1,206,2014-12-19 06:53:20,44.7
3232014,1,1,1,207,2014-12-19 06:53:23,46.6
3232014,1,1,1,208,2014-12-19 06:53:26,47.2
3232014,1,1,1,209,2014-12-19 06:53:29,47.2
3232014,1,1,1,210,2014-12-19 06:53:32,47.8
3232014,1,1,1,211,2014-12-19 06:53:35,48.5
3232014,1,1,1,212,2014-12-19 06:53:38,47.2
3232014,1,1,1,213,2014-12-19 06:53:41,47.8
3232014,1,1,1,214,2014-12-19 06:53:44,47.8
3232014,1,1,1,215,2014-12-19 06:53:47,46.6
3232014,1,1,1,216,2014-12-19 06:53:50,44.7
3232014,1,1,1,217,2014-12-19 06:53:53,44.1
3232014,1,1,1,218,2014-12-19 06:53:56,44.1
3232014,1,1,1,219,2014-12-19 06:53:59,42.9
3232014,1,1,1,220,2014-12-19 06:54:02,36.7
3232014,1,1,1,221,2014-12-19 06:54:05,24.9
3232014,1,1,1,222,2014-12-19 06:54:08,13.0
3232014,1,1,1,223,2014-12-19 06:54:11,20.5
3232014,1,1,1,224,2014-12-19 06:54:14,29.2
3232014,1,1,1,225,2014-12-19 06:54:17,33.6
3232014,1,1,1,226,2014-12-19 06:54:20,35.4
3232014,1,1,1,227,2014-12-19 06:54:23,35.4
3232014,1,1,1,228,2014-12-19 06:54:26,34.2
3232014,1,1,1,229,2014-12-19 06:54:29,32.9
3232014,1,1,1,230,2014-12-19 06:54:32,32.3
3232014,1,1,1,231,2014-12-19 06:54:35,32.3
3232014,1,1,1,232,2014-12-19 06:54:38,32.9
3232014,1,1,1,233,2014-12-19 06:54:41,31.7
3232014,1,1,1,234,2014-12-19 06:54:44,28.0
3232014,1,1,1,235,2014-12-19 06:54:47,21.1
3232014,1,1,1,236,2014-12-19 06:54:50,10.6
3232014,1,1,1,237,2014-12-19 06:54:53,1.2
3232014,1,1,1,238,2014-12-19 06:54:56,6.8
3232014,1,1,1,239,2014-12-19 06:54:59,14.9
3232014,1,1,1,240,2014-12-19 06:55:02,15.5
3232014,1,1,1,241,2014-12-19 06:55:05,11.2
3232014,1,1,1,242,2014-12-19 06:55:08,6.2
3232014,1,1,1,243,2014-12-19 06:55:11,7.5
3232014,1,1,1,244,2014-12-19 06:55:14,7.5
3232014,1,1,1,245,2014-12-19 06:55:17,4.3
3232014,1,1,1,246,2014-12-19 06:55:41,1.2
3232014,1,1,1,247,2014-12-19 06:55:44,1.9
3232014,1,1,1,248,2014-12-19 06:55:59,1.2
3232014,1,1,1,249,2014-12-19 06:56:14,1.2
3232014,1,1,1,250,2014-12-19 06:56:56,1.2
3232014,1,1,1,251,2014-12-19 06:56:59,1.9
3232014,1,1,1,252,2014-12-19 06:57:02,1.9
3232014,1,1,1,253,2014-12-19 06:57:05,1.9
3232014,1,1,1,254,2014-12-19 06:57:08,1.9
3232014,1,1,1,255,2014-12-19 06:57:11,2.5
3232014,1,1,1,256,2014-12-19 06:57:14,1.9
3232014,1,1,1,257,2014-12-19 06:57:17,1.9
3232014,1,2,1,263,2014-12-19 15:12:30,41.3
3232014,1,2,1,264,2014-12-19 15:12:33,41.0
3232014,1,2,1,265,2014-12-19 15:12:36,41.6
3232014,1,2,1,266,2014-12-19 15:12:39,42.3
3232014,1,2,1,267,2014-12-19 15:12:42,41.0
3232014,1,2,1,268,2014-12-19 15:12:45,37.3
3232014,1,2,1,269,2014-12-19 15:12:48,26.1
3232014,1,2,1,270,2014-12-19 15:12:51,13.7
3232014,1,2,1,271,2014-12-19 15:12:54,16.8
3232014,1,2,1,272,2014-12-19 15:12:57,26.1
3232014,1,2,1,273,2014-12-19 15:13:00,32.9
3232014,1,2,1,274,2014-12-19 15:13:03,37.9
3232014,1,2,1,275,2014-12-19 15:13:06,42.3
3232014,1,2,1,276,2014-12-19 15:13:09,44.7
3232014,1,2,1,277,2014-12-19 15:13:12,46.0
3232014,1,2,1,278,2014-12-19 15:13:15,46.0
3232014,1,2,1,279,2014-12-19 15:13:18,46.0
3232014,1,2,1,280,2014-12-19 15:13:21,46.0
3232014,1,2,1,281,2014-12-19 15:13:24,46.0
3232014,1,2,1,282,2014-12-19 15:13:27,45.4
3232014,1,2,1,283,2014-12-19 15:13:30,42.9
3232014,1,2,1,284,2014-12-19 15:13:33,42.3
3232014,1,2,1,285,2014-12-19 15:13:36,41.6
3232014,1,2,1,286,2014-12-19 15:13:39,41.0
3232014,1,2,1,287,2014-12-19 15:13:42,41.0
3232014,1,2,1,288,2014-12-19 15:13:45,40.4
3232014,1,2,1,289,2014-12-19 15:13:48,38.5
3232014,1,2,1,290,2014-12-19 15:13:51,37.9
3232014,1,2,1,291,2014-12-19 15:13:54,35.4
3232014,1,2,1,292,2014-12-19 15:13:57,32.3
3232014,1,2,1,293,2014-12-19 15:14:00,27.3
3232014,1,2,1,294,2014-12-19 15:14:03,29.2
3232014,1,2,1,295,2014-12-19 15:14:06,31.1
3232014,1,2,1,296,2014-12-19 15:14:09,32.9
3232014,1,2,1,297,2014-12-19 15:14:12,33.6
3232014,1,2,1,298,2014-12-19 15:14:15,32.9
3232014,1,2,1,299,2014-12-19 15:14:18,28.0
3232014,1,2,1,300,2014-12-19 15:14:21,16.8
3232014,1,2,1,301,2014-12-19 15:14:24,6.8
3232014,1,2,1,302,2014-12-19 15:14:36,1.9
3232014,1,2,1,303,2014-12-19 15:14:39,5.6
3232014,1,2,1,304,2014-12-19 15:14:42,4.3
3232014,1,2,1,305,2014-12-19 15:14:45,11.8
3232014,1,2,1,306,2014-12-19 15:14:48,14.9
3232014,1,2,1,307,2014-12-19 15:14:51,13.0
3232014,1,2,1,308,2014-12-19 15:14:54,9.9
3232014,1,2,1,309,2014-12-19 15:14:57,3.1
3232014,1,2,1,310,2014-12-19 15:15:00,5.6
3232014,1,2,1,311,2014-12-19 15:15:03,7.5
3232014,1,2,1,312,2014-12-19 15:15:06,6.2
3232014,1,2,1,313,2014-12-19 15:15:09,6.2
3232014,1,2,1,314,2014-12-19 15:15:12,6.2
3232014,1,2,1,315,2014-12-19 15:15:15,7.5
3232014,1,2,1,316,2014-12-19 15:15:18,4.3
3232014,1,2,1,317,2014-12-19 15:20:03,1.9
3232014,1,2,1,318,2014-12-19 15:20:08,1.9
3232014,1,2,1,319,2014-12-19 15:20:11,2.5
3232014,1,2,1,320,2014-12-19 15:20:14,2.5
3232014,1,2,1,321,2014-12-19 15:20:17,2.5
3232014,1,2,1,322,2014-12-19 15:20:20,4.3
3232014,1,2,1,323,2014-12-19 15:20:23,3.7
3232014,1,2,1,324,2014-12-19 15:20:26,3.7
3232014,1,2,1,325,2014-12-19 15:20:29,4.3
3232014,1,2,1,326,2014-12-19 15:20:34,1.2
3232014,1,2,1,327,2014-12-19 15:20:37,1.2
3232014,1,3,1,328,2014-12-19 15:21:42,1.2
3232014,1,3,1,329,2014-12-19 15:21:45,1.9
3232014,1,3,1,330,2014-12-19 15:21:48,1.2
3232014,1,3,1,331,2014-12-19 15:21:54,1.9
3232014,1,3,1,332,2014-12-19 15:21:57,1.9
3232014,1,3,1,333,2014-12-19 15:22:00,2.5
3232014,1,3,1,334,2014-12-19 15:22:03,2.5
3232014,1,3,1,335,2014-12-19 15:22:06,1.9
3232014,1,3,1,336,2014-12-19 15:22:09,1.9
3232014,1,3,1,337,2014-12-19 15:22:12,1.9
3232014,1,3,1,338,2014-12-19 15:22:15,1.9
3232014,1,3,1,339,2014-12-19 15:23:14,1.2
3232014,1,3,1,340,2014-12-19 15:23:20,2.5
3232014,1,3,1,341,2014-12-19 15:23:23,5.0
3232014,1,3,1,342,2014-12-19 15:23:26,5.0
3232014,1,3,1,343,2014-12-19 15:23:29,1.9
3232014,1,3,1,344,2014-12-19 15:23:32,7.5
3232014,1,3,1,345,2014-12-19 15:23:35,18.6
3232014,1,3,1,346,2014-12-19 15:23:38,24.2
3232014,1,3,1,347,2014-12-19 15:23:41,24.2
3232014,1,3,1,348,2014-12-19 15:23:44,27.3
3232014,1,3,1,349,2014-12-19 15:23:47,28.6
3232014,1,3,1,350,2014-12-19 15:23:50,27.3
3232014,1,3,1,351,2014-12-19 15:23:53,23.6
3232014,1,3,1,352,2014-12-19 15:23:56,21.1
3232014,1,3,1,353,2014-12-19 15:23:59,20.5
3232014,1,3,1,354,2014-12-19 15:24:02,14.3
3232014,1,3,1,355,2014-12-19 15:24:05,8.7
3232014,1,3,1,356,2014-12-19 15:24:08,7.5
3232014,1,3,1,357,2014-12-19 15:24:11,1.2
3232014,1,3,1,358,2014-12-19 15:24:30,3.1
3232014,1,3,1,359,2014-12-19 15:24:33,14.3
3232014,1,3,1,360,2014-12-19 15:24:36,16.8
3232014,1,3,1,361,2014-12-19 15:24:39,21.7
3232014,1,3,1,362,2014-12-19 15:24:42,31.1
3232014,1,3,1,363,2014-12-19 15:24:45,37.9
3232014,1,3,1,364,2014-12-19 15:24:48,44.1
3232014,1,3,1,365,2014-12-19 15:24:51,49.1
3232014,1,3,1,366,2014-12-19 15:24:54,52.8
3232014,1,3,1,367,2014-12-19 15:24:57,55.3
3232014,1,3,1,368,2014-12-19 15:25:00,56.5
3232014,1,3,1,369,2014-12-19 15:25:03,59.7
3232014,1,3,1,370,2014-12-19 15:25:06,62.1
3232014,1,3,1,371,2014-12-19 15:25:09,64.6
3232014,1,3,1,372,2014-12-19 15:25:12,65.9
3232014,1,3,1,373,2014-12-19 15:25:15,65.9
3232014,1,3,1,374,2014-12-19 15:25:18,67.1
3232014,1,3,1,375,2014-12-19 15:25:21,68.4
3232014,1,3,1,376,2014-12-19 15:25:24,69.0
3232014,1,3,1,377,2014-12-19 15:25:27,70.2
3232014,1,3,1,378,2014-12-19 15:25:30,70.2
3232014,1,3,1,379,2014-12-19 15:25:33,69.0
3232014,1,3,1,380,2014-12-19 15:25:36,68.4
3232014,1,3,1,381,2014-12-19 15:25:39,68.4
3232014,1,3,1,382,2014-12-19 15:25:42,67.7
3232014,1,3,1,383,2014-12-19 15:25:45,68.4
3232014,1,3,1,384,2014-12-19 15:25:48,65.9
3232014,1,3,1,385,2014-12-19 15:25:51,63.4
3232014,1,3,1,386,2014-12-19 15:25:54,60.3
3232014,1,3,1,387,2014-12-19 15:25:57,57.2
3232014,1,3,1,388,2014-12-19 15:26:00,54.7
3232014,1,3,1,389,2014-12-19 15:26:03,52.8
3232014,1,3,1,390,2014-12-19 15:26:06,49.7
3232014,1,3,1,391,2014-12-19 15:26:09,46.6
3232014,1,3,1,392,2014-12-19 15:26:12,42.9
3232014,1,3,1,393,2014-12-19 15:26:15,39.1
3232014,1,3,1,394,2014-12-19 15:26:18,32.9
3232014,1,3,1,395,2014-12-19 15:26:21,24.9
3232014,1,3,1,396,2014-12-19 15:26:24,20.5
3232014,1,3,1,397,2014-12-19 15:26:27,22.4
3232014,1,3,1,398,2014-12-19 15:26:30,22.4
3232014,1,3,1,399,2014-12-19 15:26:33,28.0
3232014,1,3,1,400,2014-12-19 15:26:36,29.3
3232014,1,3,1,401,2014-12-19 15:26:39,31.7
3232014,1,3,1,402,2014-12-19 15:26:42,36.0
3232014,1,3,1,403,2014-12-19 15:26:45,37.9
3232014,1,3,1,404,2014-12-19 15:26:48,38.5
3232014,1,3,1,405,2014-12-19 15:26:51,41.0
3232014,1,3,1,406,2014-12-19 15:26:54,42.9
3232014,1,3,1,407,2014-12-19 15:26:57,45.4
3232014,1,3,1,408,2014-12-19 15:27:00,48.5
3232014,1,3,1,409,2014-12-19 15:27:03,51.0
3232014,1,3,1,410,2014-12-19 15:27:06,52.8
3232014,1,3,1,411,2014-12-19 15:27:09,55.3
3232014,1,3,1,412,2014-12-19 15:27:12,57.2
3232014,1,3,1,413,2014-12-19 15:27:15,58.4
