"92","3"
"101","3"
"71","3"
"75","3"
"19","3"
"96","3"
"38","3"
"49","3"
"89","1,3"
"72","3"
"78","1,3"
"42","1,3"
"62","3"
"78","3"
"95","3"
"41","3"
"113","3"
"60","3"
"28","1"
"203","1"
"61","1"
"76","6"
"89","1"
"73","1"
"77","6"
"95","1"
"257","1"
"238","1"
"260","1"
"204","1"
"262","1"
"49","1"
"194","1"
"58","1"
"79","6"
"86","1"
"89","1"
"98","6"
"98","1"
"272","1"
"192","1"
"268","1"
"33","1"
"206","1"
"53","1"
"87","6"
"68","1"
"30","1"
"93","6"
"100","1"
"255","1"
"337","3"
"515","3"
"329","3"
"352","3"
"47","3"
"538","3"
"383","3"
"92","3"
"59","3"
"40","3"
"80","3"
"312","3"
"326","3"
"330","3"
"395","3"
"141","3"
"704","3"
"148","3"
"312","3"
"169","3"
"159","3"
"66","3"
"180","3"
"209","3"
"63","3"
"59","3"
"168","3"
"175","1,3"
"174","1,3"
"158","3"
"17","1"
"66","1,3"
"156","3"
"172","3"
"163","3"
"173","3"
"61","3"
"59","3"
"167","3"
"180","3"
"257","1,3"
"65","1,3"
"200","1,3"
"64","1,3"
"58","3"
"110","1"
"81","1"
"8","1"
"60","1"
"135","1"
"380","1,3"
"83","3"
"175","3"
"201","1,3"
"146","1,3"
"70","3"
"92","3"
"141","4"
"525","4"
"40","6"
"94","1"
"95","1"
"93","1"
"216","3"
"233","3"
"123","3"
"89","3"
"193","3"
"198","3"
"204","3"
"118","3"
"94","3"
"125","3"
"95","3"
"120","3"
"62","3"
"40","3"
"145","3"
"95","3"
"407","3"
"94","3"
"123","1,3"
"120","1,3"
"69","3"
"56","3"
"379","3"
"209","3"
"98","1,3"
"465","3"
"65","3"
"95","3"
"51","3"
"45","3"
"436","3"
"285","1,3"
"250","1,3"
"123","3"
"27","3"
"158","3"
"99","1,3"
"133","3"
"213","3"
"166","3"
"172","3"
"276","1,3"
"104","3"
"85","3"
"46","3"
"178","3"
"57","1,3"
"9","1"
"33","1"
"16","1"
"53","1,3"
"10","1"
"52","3"
"181","3"
"44","3"
"94","3"
"163","3"
"23","3"
"588","3"
"146","1"
"169","1"
"412","3"
"145","3"
"73","3"
"496","1,3"
"178","3"
"154","3"
"287","3"
"469","3"
"110","3"
"340","3"
"100","3"
"478","3"
"135","3"
"71","3"
"458","3"
"47","3"
"366","3"
"215","3"
"434","3"
"353","3"
"179","3"
"138","1"
"132","1"
"232","3"
"174","3"
"34","3"
"28","3"
"142","1"
"136","1"
"28","3"
"298","3"
"249","3"
"121","1"
"130","1"
"240","3"
"180","4"
"79","4"
"200","1"
"325","1,3"
"344","1,3"
"316","1,3"
"336","1,3"
"192","1"
"296","1,3"
"18","1"
"622","3"
"218","3"
"405","3"
"326","1,3"
"121","3"
"109","3"
"144","3"
"86","3"
"102","3"
"595","3"
"623","3"
"73","3"
"315","4"
"384","4"
"87","4"
"61","4"
"56","4"
"31","3"
"100","3"
"26","3"
"37","3"
"207","3"
"311","3"
"64","3"
"75","1,3"
"97","1,3"
"38","1,3"
"263","3"
"264","3"
"68","3"
"52","3"
"160","3"
"87","3"
"108","3"
"18","3"
"326","3"
"104","1,3"
"128","1,3"
"25","3"
"38","3"
"334","3"
"343","3"
"234","1,3"
"70","1,3"
"15","1"
"15","1"
"154","3"
"93","3"
"115","3"
"195","1,3"
"188","1,3"
"83","3"
"679","3"
"621","3"
"70","4"
"78","4"
"120","4"
"124","4"
"96","3"
"105","3"
"104","3"
"111","3"
"116","3"
"126","3"
"110","3"
"107","3"
"66","3"
"66","3"
"107","3"
"113","3"
"112","3"
"108","3"
"71","3"
"78","3"
"121","3"
"124","3"
"114","3"
"129","3"
"107","3"
"113","3"
