sampno,perno,gpstripid,gpstravdayid,localid,time_local,gpsspeed
3233836,1,1,1,1,2014-12-17 07:43:56,56.1
3233836,1,1,1,2,2014-12-17 07:43:59,56.5
3233836,1,1,1,3,2014-12-17 07:44:02,56.5
3233836,1,1,1,4,2014-12-17 07:44:05,55.9
3233836,1,1,1,5,2014-12-17 07:44:08,57.2
3233836,1,1,1,6,2014-12-17 07:44:11,57.2
3233836,1,1,1,7,2014-12-17 07:44:14,55.3
3233836,1,1,1,8,2014-12-17 07:44:17,52.8
3233836,1,1,1,9,2014-12-17 07:44:20,51.6
3233836,1,1,1,10,2014-12-17 07:44:24,50.3
3233836,1,1,1,11,2014-12-17 07:44:27,51.0
3233836,1,1,1,12,2014-12-17 07:44:30,50.3
3233836,1,1,1,13,2014-12-17 07:44:33,44.7
3233836,1,1,1,14,2014-12-17 07:44:36,41.0
3233836,1,1,1,15,2014-12-17 07:44:39,34.8
3233836,1,1,1,16,2014-12-17 07:44:42,23.0
3233836,1,1,1,17,2014-12-17 07:44:45,27.3
3233836,1,1,1,18,2014-12-17 07:44:48,35.4
3233836,1,1,1,19,2014-12-17 07:44:51,39.8
3233836,1,1,1,20,2014-12-17 07:44:54,41.6
3233836,1,1,1,21,2014-12-17 07:44:57,42.3
3233836,1,1,1,22,2014-12-17 07:45:00,44.1
3233836,1,1,1,23,2014-12-17 07:45:03,46.6
3233836,1,1,1,24,2014-12-17 07:45:06,47.2
3233836,1,1,1,25,2014-12-17 07:45:09,49.7
3233836,1,1,1,26,2014-12-17 07:45:12,49.1
3233836,1,1,1,27,2014-12-17 07:45:15,50.3
3233836,1,1,1,28,2014-12-17 07:45:18,47.8
3233836,1,1,1,29,2014-12-17 07:45:21,44.7
3233836,1,1,1,30,2014-12-17 07:45:24,41.6
3233836,1,1,1,31,2014-12-17 07:45:27,36.7
3233836,1,1,1,32,2014-12-17 07:45:30,30.4
3233836,1,1,1,33,2014-12-17 07:45:33,22.4
3233836,1,1,1,34,2014-12-17 07:45:36,15.5
3233836,1,1,1,35,2014-12-17 07:45:39,8.1
3233836,1,1,1,36,2014-12-17 07:45:42,1.2
3233836,1,1,1,37,2014-12-17 07:45:51,1.9
3233836,1,1,1,38,2014-12-17 07:45:54,6.8
3233836,1,1,1,39,2014-12-17 07:45:57,14.9
3233836,1,1,1,40,2014-12-17 07:46:00,18.0
3233836,1,1,1,41,2014-12-17 07:46:03,16.8
