sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3208181,2,1,1,1,2014-12-16 09:47:37,2014-12-16 10:03:25,15.8,0.8218,3.12,5.6,1,1,1,1,1,,0.1,1,0,0,0,0,HOME,OTHER
3208181,2,2,1,2,2014-12-16 10:03:31,2014-12-16 10:13:40,10.15,0.5502,3.25,5.0,1,1,1,1,1,22.041775,1782.1,1,0,0,0,0,OTHER,HOME
3208181,2,3,2,1,2014-12-17 15:55:46,2014-12-17 15:59:57,4.18,1.2436,17.84,34.8,3,1,3,1,3,43.914631,3.45,1,0,0,0,0,HOME,OTHER
3208181,2,4,2,2,2014-12-17 16:03:24,2014-12-17 16:06:32,3.13,0.5704,10.92,26.7,3,1,3,1,3,48.637321,1.98,1,0,0,0,0,OTHER,OTHER
3208181,2,5,2,3,2014-12-17 16:08:31,2014-12-17 16:12:12,3.68,0.7543,12.29,25.5,3,1,3,1,3,11.835917,3.52,1,0,0,0,0,OTHER,OTHER
3208181,2,6,2,4,2014-12-17 16:15:43,2014-12-17 16:21:12,5.48,1.0077,11.03,41.6,3,1,3,1,3,111.382365,5.25,1,0,0,0,0,OTHER,OTHER
3208181,2,7,2,5,2014-12-17 16:26:27,2014-12-17 16:44:54,18.45,1.5256,4.96,36.0,3,1,3,1,3,22.629878,0.0,1,0,0,0,0,OTHER,HOME
