sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3201299,1,1,1,1,2014-11-24 05:34:01,2014-11-24 06:26:07,52.1,52.3332,60.27,80.8,3,1,3,1,3,,1.63,1,0,0,0,0,OTHER,OTHER
3201299,1,2,1,2,2014-11-24 06:27:45,2014-11-24 06:45:12,17.45,13.8192,47.52,65.9,4,1,4,1,4,17.015385,616.68,1,0,0,0,0,OTHER,OTHER
3201299,1,3,1,3,2014-11-24 17:01:53,2014-11-24 17:18:45,16.87,13.253,47.15,62.1,4,1,4,1,4,2882.858348,2.5,1,0,0,0,0,OTHER,OTHER
3201299,1,4,1,4,2014-11-24 17:21:15,2014-11-24 18:12:00,50.75,52.6521,62.25,82.0,3,1,3,1,3,121.063354,0.6,1,0,0,0,0,OTHER,OTHER
3201299,1,5,1,5,2014-11-24 18:12:36,2014-11-24 18:23:33,10.95,6.4742,35.47,67.7,3,1,3,1,3,26.973836,0.98,1,0,0,0,0,OTHER,HOME
3201299,1,6,1,6,2014-11-24 18:24:32,2014-11-24 18:26:22,1.83,0.0717,2.35,3.1,1,1,1,1,1,35.576411,651.72,1,0,1,0,1,HOME,HOME
3201299,1,7,2,1,2014-11-25 05:18:05,2014-11-25 05:26:21,8.27,5.3084,38.53,59.0,3,1,3,1,3,3279.213536,7.95,1,0,0,0,0,OTHER,OTHER
3201299,1,8,2,2,2014-11-25 05:34:18,2014-11-25 06:23:26,49.13,52.334,63.91,76.4,3,1,3,1,3,38.959069,2.48,1,0,0,0,0,OTHER,OTHER
3201299,1,9,2,3,2014-11-25 06:25:55,2014-11-25 06:43:33,17.63,13.7859,46.91,57.2,3,1,3,1,3,21.785937,1369.15,1,0,0,0,0,OTHER,OTHER
3201299,1,10,3,1,2014-11-26 05:32:42,2014-11-26 06:19:07,46.42,51.8902,67.08,78.9,3,1,3,1,3,280967.79527,2.58,1,0,0,0,0,OTHER,OTHER
3201299,1,11,3,2,2014-11-26 06:21:42,2014-11-26 06:39:25,17.72,13.8173,46.79,56.5,3,1,3,1,3,34.804464,498.9,1,0,0,0,0,OTHER,OTHER
3201299,1,12,3,3,2014-11-26 14:58:19,2014-11-26 15:04:31,6.2,4.7955,46.41,64.6,3,1,3,1,3,47434.780635,1.47,1,0,0,0,0,OTHER,OTHER
3201299,1,13,3,4,2014-11-26 15:05:59,2014-11-26 15:54:03,48.07,52.6694,65.75,80.8,3,1,3,1,3,34.643641,1.5,1,0,0,0,0,OTHER,OTHER
3201299,1,14,3,5,2014-11-26 15:55:33,2014-11-26 16:07:46,12.22,6.5041,31.94,67.1,3,1,3,1,3,24.820865,0.0,1,0,0,0,0,OTHER,HOME
