sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3233836,1,1,1,1,2014-12-17 07:43:56,2014-12-17 07:53:49,9.88,3.8626,23.45,60.3,4,1,4,1,4,,1.4,1,0,0,0,0,OTHER,OTHER
3233836,1,2,1,2,2014-12-17 07:55:13,2014-12-17 08:24:18,29.08,22.8608,47.16,74.6,4,1,4,1,4,44.142067,107.25,1,0,0,0,0,OTHER,OTHER
3233836,1,3,1,3,2014-12-17 10:11:33,2014-12-17 10:16:02,4.48,0.8447,11.3,37.9,6,1,6,1,6,893.708276,500.18,1,0,0,0,0,OTHER,OTHER
3233836,1,4,1,4,2014-12-17 18:36:13,2014-12-17 18:41:02,4.82,0.1974,2.46,3.1,1,1,1,1,1,119466.986147,2386.03,1,0,0,0,0,HOME,OTHER
3233836,1,5,3,1,2014-12-19 10:27:04,2014-12-19 10:31:52,4.8,0.1835,2.29,3.1,1,1,1,1,1,858.206384,376.48,1,0,0,0,0,HOME,OTHER
3233836,1,6,3,2,2014-12-19 16:48:21,2014-12-19 16:52:57,4.6,0.1731,2.26,4.3,1,1,1,1,1,59.436551,0.0,1,0,0,0,0,OTHER,HOME
