sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3210054,3,1,1,1,2015-01-06 06:45:47,2015-01-06 06:53:56,8.15,2.4653,18.15,46.0,4,2,"4,1",2,"1,4",,646.28,1,0,0,0,0,WORK,OTHER
3210054,3,2,1,2,2015-01-06 17:40:13,2015-01-06 17:52:58,12.75,2.5813,12.15,46.6,4,3,"1,4,1",2,"1,4",7.857885,749.57,1,0,0,0,0,OTHER,HOME
3210054,3,3,2,1,2015-01-07 06:22:32,2015-01-07 06:26:53,4.35,1.9734,27.22,49.7,3,1,3,1,3,2939.979382,3.18,1,0,0,0,0,OTHER,OTHER
3210054,3,4,2,2,2015-01-07 06:30:04,2015-01-07 06:35:06,5.03,0.6624,7.9,33.6,3,1,3,1,3,18.375507,6.45,1,0,0,0,0,OTHER,WORK
3210054,3,5,2,3,2015-01-07 06:41:33,2015-01-07 06:46:32,4.98,0.7102,8.55,42.9,3,2,"3,1",2,"1,3",15.715687,676.1,1,0,0,0,0,WORK,OTHER
3210054,3,6,2,4,2015-01-07 18:02:38,2015-01-07 18:25:16,22.63,7.4564,19.77,59.0,3,2,"1,3",2,"1,3",37.513247,0.65,1,0,0,0,0,OTHER,OTHER
3210054,3,7,2,5,2015-01-07 18:25:55,2015-01-07 18:43:16,17.35,4.7526,16.44,51.6,3,1,3,1,3,11.3136,10.18,1,0,0,0,0,OTHER,OTHER
3210054,3,8,2,6,2015-01-07 18:53:27,2015-01-07 18:55:46,2.32,0.901,23.33,43.5,3,1,3,1,3,122.505596,759.28,1,0,0,0,0,OTHER,HOME
3210054,3,9,3,1,2015-01-08 07:35:03,2015-01-08 07:45:10,10.12,5.0997,30.25,57.8,3,1,3,1,3,1033.595624,0.37,1,0,0,0,0,WORK,OTHER
3210054,3,10,3,2,2015-01-08 07:45:32,2015-01-08 08:03:09,17.62,6.0699,20.67,54.1,3,1,3,1,3,18.440334,0.18,1,0,0,0,0,OTHER,OTHER
3210054,3,11,3,3,2015-01-08 08:03:20,2015-01-08 08:19:45,16.42,6.2026,22.67,59.7,3,1,3,1,3,0.0,23.38,1,0,0,0,0,OTHER,OTHER
3210054,3,12,3,4,2015-01-08 08:43:08,2015-01-08 08:46:29,3.35,1.4985,26.84,53.4,3,1,3,1,3,9.378127,0.18,1,0,0,0,0,OTHER,OTHER
3210054,3,13,3,5,2015-01-08 08:46:40,2015-01-08 08:52:13,5.55,1.6193,17.51,42.9,3,1,3,1,3,11.820039,4.28,1,0,0,0,0,OTHER,OTHER
3210054,3,14,3,6,2015-01-08 08:56:30,2015-01-08 09:01:50,5.33,1.9429,21.86,47.8,3,1,3,1,3,45.255772,12.6,1,0,0,0,0,OTHER,HOME
3210054,3,15,3,7,2015-01-08 09:14:26,2015-01-08 09:21:22,6.93,2.6428,22.87,52.8,3,1,3,1,3,22.941575,5.65,1,0,0,0,0,HOME,OTHER
3210054,3,16,3,8,2015-01-08 09:27:01,2015-01-08 09:33:19,6.3,2.6413,25.16,46.6,3,1,3,1,3,3.640456,230.12,1,0,0,0,0,OTHER,HOME
3210054,3,17,3,9,2015-01-08 13:23:26,2015-01-08 13:26:10,2.73,0.6342,13.92,34.2,3,1,3,1,3,32.939627,7.48,1,0,0,0,0,HOME,OTHER
3210054,3,18,3,10,2015-01-08 13:33:39,2015-01-08 13:36:28,2.82,0.7891,16.81,37.3,3,1,3,1,3,13.880504,70.77,1,0,0,0,0,OTHER,HOME
3210054,3,19,3,11,2015-01-08 14:47:14,2015-01-08 14:51:08,3.9,0.716,11.02,37.9,3,1,3,1,3,29.546136,2.63,1,0,0,0,0,HOME,OTHER
3210054,3,20,3,12,2015-01-08 14:53:46,2015-01-08 15:18:16,24.5,6.3406,15.53,52.8,3,1,3,1,3,6.940183,0.08,1,0,0,0,0,OTHER,OTHER
3210054,3,21,3,13,2015-01-08 15:18:21,2015-01-08 15:35:04,16.72,2.9668,10.65,36.0,3,1,3,1,3,12.354685,0.55,1,0,0,0,0,OTHER,OTHER
3210054,3,22,3,14,2015-01-08 15:35:37,2015-01-08 15:44:38,9.02,2.1037,14.0,41.0,3,1,3,1,3,27.735683,45.45,1,0,0,0,0,OTHER,OTHER
3210054,3,23,3,15,2015-01-08 16:30:05,2015-01-08 17:10:28,40.38,10.4085,15.46,52.8,3,1,3,1,3,26.976401,1.02,1,0,0,0,0,OTHER,OTHER
3210054,3,24,3,16,2015-01-08 17:11:29,2015-01-08 17:38:52,27.38,5.99,13.12,52.2,3,1,3,1,3,9.5793,0.47,1,0,0,0,0,OTHER,OTHER
3210054,3,25,3,17,2015-01-08 17:39:20,2015-01-08 17:52:28,13.13,4.3243,19.76,51.0,3,1,3,1,3,11.3136,0.0,1,0,0,0,0,OTHER,HOME
