sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3256539,2,1,1,1,2014-12-02 08:52:35,2014-12-02 08:58:18,5.72,1.0546,11.07,37.3,3,2,"3,1",2,"1,3",,11.68,1,0,0,0,0,OTHER,OTHER
3256539,2,2,1,2,2014-12-02 09:09:59,2014-12-02 09:16:07,6.13,1.2518,12.25,37.9,3,3,"1,3,1",2,"1,3",67.173527,6.43,1,0,0,0,0,OTHER,OTHER
3256539,2,3,1,3,2014-12-02 09:22:33,2014-12-02 09:24:54,2.35,0.3447,8.8,26.7,3,2,"1,3",2,"1,3",84.198001,110.95,1,0,0,0,0,OTHER,HOME
3256539,2,4,1,4,2014-12-02 11:15:51,2014-12-02 11:30:38,14.78,7.2449,29.4,62.8,3,1,3,1,3,20.748646,218.63,1,0,0,0,0,HOME,OTHER
3256539,2,5,1,5,2014-12-02 15:09:16,2014-12-02 15:27:58,18.7,7.589,24.35,68.4,3,1,3,1,3,105.646822,99.23,1,0,0,0,0,OTHER,HOME
3256539,2,6,1,6,2014-12-02 17:07:12,2014-12-02 17:10:34,3.37,1.1131,19.84,37.9,3,1,3,1,3,2.956106,7.1,1,0,0,0,0,HOME,OTHER
3256539,2,7,1,7,2014-12-02 17:17:40,2014-12-02 17:20:43,3.05,0.7865,15.47,39.1,3,1,3,1,3,11.314302,844.82,1,0,0,0,0,OTHER,HOME
3256539,2,8,2,1,2014-12-03 07:25:32,2014-12-03 07:34:18,8.77,5.0762,34.74,68.4,3,1,3,1,3,1909.910922,1.2,1,0,0,0,0,OTHER,OTHER
3256539,2,9,2,2,2014-12-03 07:35:30,2014-12-03 07:40:24,4.9,3.1424,38.48,57.2,3,1,3,1,3,4.689311,7.02,1,0,0,0,0,OTHER,OTHER
3256539,2,10,2,3,2014-12-03 07:47:25,2014-12-03 07:53:11,5.77,2.6849,27.94,43.5,3,1,3,1,3,608.837731,0.87,1,0,0,0,0,OTHER,OTHER
3256539,2,11,2,4,2014-12-03 07:54:03,2014-12-03 07:55:03,1.0,0.1919,11.51,19.3,3,1,3,1,3,51.645607,2.73,1,0,0,0,0,OTHER,OTHER
3256539,2,12,2,5,2014-12-03 07:57:47,2014-12-03 08:19:39,21.87,9.2057,25.26,62.8,3,1,3,1,3,11.468968,122.43,1,0,0,0,0,OTHER,HOME
3256539,2,13,2,6,2014-12-03 10:22:05,2014-12-03 10:29:11,7.1,1.4256,12.05,39.8,3,2,"3,1",2,"1,3",4.689478,38.45,1,0,0,0,0,HOME,OTHER
3256539,2,14,2,7,2014-12-03 11:07:38,2014-12-03 11:16:19,8.68,1.1391,7.87,31.1,3,2,"1,3",2,"1,3",190.422818,2.78,1,0,0,0,0,OTHER,OTHER
3256539,2,15,2,8,2014-12-03 11:19:06,2014-12-03 11:20:18,1.2,0.2896,14.48,22.4,3,1,3,1,3,65.033097,216.85,1,0,0,0,0,OTHER,HOME
3256539,2,16,2,9,2014-12-03 14:57:09,2014-12-03 14:59:32,2.38,0.4488,11.3,23.6,3,1,3,1,3,15.222238,0.5,1,0,1,0,1,HOME,HOME
3256539,2,17,2,10,2014-12-03 15:00:02,2014-12-03 15:23:18,23.27,9.7179,25.06,60.3,3,1,3,1,3,20.247556,9.95,1,0,0,0,0,HOME,OTHER
3256539,2,18,2,11,2014-12-03 15:33:15,2014-12-03 15:55:18,22.05,9.1595,24.92,55.3,3,1,3,1,3,14.858393,140.88,1,0,0,0,0,OTHER,OTHER
3256539,2,19,2,12,2014-12-03 18:16:11,2014-12-03 18:32:04,15.88,7.5666,28.58,66.5,3,2,"3,1",2,"1,3",375.635359,22.15,1,0,0,0,0,OTHER,OTHER
3256539,2,20,2,13,2014-12-03 18:54:13,2014-12-03 18:59:19,5.1,1.1532,13.57,46.0,3,2,"1,3",2,"1,3",29.788698,2.4,1,0,0,0,0,OTHER,HOME
3256539,2,21,2,14,2014-12-03 19:01:43,2014-12-03 19:02:25,0.7,0.0311,2.67,2.5,1,1,1,1,1,29.273002,0.5,1,0,0,0,0,HOME,HOME
3256539,2,22,2,15,2014-12-03 19:02:55,2014-12-03 19:03:38,0.72,0.0289,2.42,2.5,1,1,1,1,1,7.858065,1114.33,1,0,0,0,0,HOME,HOME
