sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3214018,1,1,1,1,2014-12-16 13:12:44,2014-12-16 13:41:11,28.45,14.6085,30.81,70.8,4,1,4,1,4,,63.25,1,0,0,0,0,HOME,OTHER
3214018,1,2,1,2,2014-12-16 14:44:26,2014-12-16 14:59:35,15.15,5.1206,20.28,49.1,4,1,4,1,4,14.061185,40.17,1,0,0,0,0,OTHER,OTHER
3214018,1,3,1,3,2014-12-16 15:39:45,2014-12-16 16:00:31,20.77,10.0189,28.95,66.5,4,1,4,1,4,32.184093,171.13,1,0,0,0,0,OTHER,HOME
3214018,1,4,1,4,2014-12-16 18:51:39,2014-12-16 19:09:51,18.2,11.57,38.14,73.9,4,1,4,1,4,29.718046,80.5,1,0,0,0,0,HOME,OTHER
3214018,1,5,1,5,2014-12-16 20:30:21,2014-12-16 20:33:46,3.42,0.795,13.96,38.5,4,1,4,1,4,95.649848,29.62,1,0,0,0,0,OTHER,OTHER
3214018,1,6,1,6,2014-12-16 21:03:23,2014-12-16 21:22:38,19.25,11.6894,36.43,72.1,4,1,4,1,4,25.289976,760.85,1,0,0,0,0,OTHER,HOME
3214018,1,7,2,1,2014-12-17 10:03:29,2014-12-17 10:21:02,17.55,8.6995,29.74,51.0,3,1,3,1,3,58.321191,62.28,1,0,0,0,0,HOME,OTHER
3214018,1,8,2,2,2014-12-17 11:23:19,2014-12-17 11:38:09,14.83,7.3611,29.78,51.0,3,1,3,1,3,27.552566,55.8,1,0,0,0,0,OTHER,OTHER
3214018,1,9,2,3,2014-12-17 12:33:57,2014-12-17 12:40:38,6.68,2.4821,22.28,49.7,3,1,3,1,3,26.364344,30.75,1,0,0,0,0,OTHER,OTHER
3214018,1,10,2,4,2014-12-17 13:11:23,2014-12-17 13:28:06,16.72,5.6004,20.1,52.2,3,1,3,1,3,6.937464,52.28,1,0,0,0,0,OTHER,OTHER
3214018,1,11,2,5,2014-12-17 14:20:23,2014-12-17 14:39:46,19.38,6.2895,19.47,51.6,3,1,3,1,3,43.655235,68.32,1,0,0,0,0,OTHER,OTHER
3214018,1,12,2,6,2014-12-17 15:48:05,2014-12-17 15:48:51,0.77,0.0888,6.95,13.7,3,1,3,1,3,52.092073,16.1,1,0,0,1,0,OTHER,OTHER
3214018,1,13,2,7,2014-12-17 16:04:57,2014-12-17 16:21:33,16.6,7.2524,26.21,55.9,3,1,3,1,3,6.942469,1494.82,1,0,0,0,0,OTHER,HOME
3214018,1,14,3,1,2014-12-18 17:16:22,2014-12-18 17:38:16,21.9,9.5439,26.15,69.6,3,1,3,1,3,21.710587,71.18,1,0,0,0,0,HOME,OTHER
3214018,1,15,3,2,2014-12-18 18:49:27,2014-12-18 19:04:52,15.42,6.6887,26.03,54.7,3,1,3,1,3,153.439993,42.68,1,0,0,0,0,OTHER,OTHER
3214018,1,16,3,3,2014-12-18 19:47:33,2014-12-18 19:55:23,7.83,2.9036,22.24,51.6,3,1,3,1,3,23.41099,0.0,1,0,0,0,0,OTHER,HOME
