sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3204480,2,1,1,1,2014-12-16 14:11:14,2014-12-16 14:17:15,6.02,3.6174,36.07,54.7,3,1,3,1,3,,7.38,1,0,0,0,0,HOME,OTHER
3204480,2,2,1,2,2014-12-16 14:24:38,2014-12-16 14:51:38,27.0,18.6024,41.34,80.2,3,2,"3,1",2,"1,3",16.097887,330.35,1,0,0,0,0,OTHER,WORK
3204480,2,3,1,3,2014-12-16 20:21:59,2014-12-16 20:32:02,10.05,7.3346,43.79,76.4,3,2,"3,1",2,"1,3",427.661637,4.38,1,0,0,0,0,WORK,OTHER
3204480,2,4,1,4,2014-12-16 20:36:25,2014-12-16 20:49:57,13.53,6.9809,30.95,80.8,3,2,"1,3",2,"1,3",15.71244,190.25,1,0,0,0,0,OTHER,WORK
3204480,2,5,1,5,2014-12-17 00:00:12,2014-12-17 00:14:51,14.65,13.149,53.85,72.7,3,1,3,1,3,69.435977,839.25,1,0,0,0,0,WORK,HOME
3204480,2,6,2,1,2014-12-17 14:14:06,2014-12-17 14:21:36,7.5,1.504,12.03,40.4,3,2,"3,1",2,"1,3",26.849336,17.27,1,0,0,0,0,HOME,OTHER
3204480,2,7,2,2,2014-12-17 14:38:52,2014-12-17 14:44:30,5.63,0.3579,3.81,20.5,3,3,"1,3,1",2,"1,3",15.715736,1.37,1,0,0,0,0,OTHER,OTHER
3204480,2,8,2,3,2014-12-17 14:45:52,2014-12-17 14:55:01,9.15,1.1588,7.6,44.7,3,2,"1,3",2,"1,3",17.048945,1.53,1,0,0,0,0,OTHER,OTHER
3204480,2,9,2,4,2014-12-17 14:56:33,2014-12-17 15:07:08,10.58,2.597,14.72,44.7,3,1,3,1,3,14.561684,17.43,1,0,0,0,0,OTHER,OTHER
3204480,2,10,2,5,2014-12-17 15:24:34,2014-12-17 15:50:52,26.3,18.534,42.28,77.0,3,1,3,1,3,7.858255,434.48,1,0,0,0,0,OTHER,WORK
3204480,2,11,2,6,2014-12-17 23:05:21,2014-12-17 23:18:21,13.0,12.9641,59.83,72.7,3,1,3,1,3,935.461204,901.2,1,0,0,0,0,WORK,HOME
3204480,2,12,3,1,2014-12-18 14:19:33,2014-12-18 14:22:15,2.7,0.7796,17.32,40.4,3,1,3,1,3,2075.028825,15.02,1,0,0,0,0,OTHER,OTHER
3204480,2,13,3,2,2014-12-18 14:37:16,2014-12-18 14:46:20,9.07,1.0394,6.88,35.4,3,2,"3,1",2,"1,3",215.110091,14.23,1,0,0,0,0,OTHER,OTHER
3204480,2,14,3,3,2014-12-18 15:00:34,2014-12-18 15:11:34,11.0,2.7135,14.8,43.5,3,2,"1,3",2,"1,3",62.168937,12.67,1,0,0,0,0,OTHER,OTHER
3204480,2,15,3,4,2014-12-18 15:24:14,2014-12-18 15:55:04,30.83,18.5323,36.06,77.7,3,1,3,1,3,23.401301,250.37,1,0,0,0,0,OTHER,WORK
3204480,2,16,3,5,2014-12-18 20:05:26,2014-12-18 20:13:00,7.57,5.3125,42.13,75.2,3,2,"3,1",2,"1,3",7846.358359,15.68,1,0,0,0,0,OTHER,OTHER
3204480,2,17,3,6,2014-12-18 20:28:41,2014-12-18 20:40:41,12.0,7.0486,35.24,76.9,3,2,"1,3",2,"1,3",82.024635,203.33,1,0,0,0,0,OTHER,WORK
3204480,2,18,3,7,2014-12-19 00:04:01,2014-12-19 00:15:50,11.82,11.8685,60.26,77.0,3,1,3,1,3,5419.119807,0.0,1,0,0,0,0,OTHER,HOME
