sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3202954,2,1,3,1,2014-12-14 09:50:28,2014-12-14 10:02:54,12.43,3.8076,18.37,36.7,3,1,3,1,3,,82.78,1,0,0,0,0,HOME,OTHER
3202954,2,2,3,2,2014-12-14 11:25:41,2014-12-14 11:41:19,15.63,3.8163,14.65,39.1,3,1,3,1,3,36.879861,41.42,1,0,0,0,0,OTHER,OTHER
3202954,2,3,3,3,2014-12-14 12:22:44,2014-12-14 12:27:08,4.4,1.3417,18.3,33.6,3,1,3,1,3,51.627336,0.0,1,0,0,0,0,OTHER,HOME
