sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3205715,1,1,1,1,2014-12-08 08:42:28,2014-12-08 09:01:59,19.52,16.7022,51.35,81.4,3,1,3,1,3,,87.52,1,0,0,0,0,OTHER,OTHER
3205715,1,2,1,2,2014-12-08 10:29:30,2014-12-08 10:48:58,19.47,16.9005,52.09,76.4,3,1,3,1,3,9.373219,1514.15,1,0,0,0,0,OTHER,HOME
3205715,1,3,2,1,2014-12-09 12:03:07,2014-12-09 12:20:27,17.33,8.043,27.84,74.6,3,1,3,1,3,52227.801308,29.32,1,0,0,0,0,OTHER,OTHER
3205715,1,4,2,2,2014-12-09 12:49:46,2014-12-09 13:04:23,14.62,6.5172,26.75,49.1,3,1,3,1,3,12.345553,24.9,1,0,0,0,0,OTHER,OTHER
3205715,1,5,2,3,2014-12-09 13:29:17,2014-12-09 13:30:10,0.88,0.0894,6.07,12.4,3,1,3,1,3,3.640554,5.48,1,0,0,1,0,OTHER,OTHER
3205715,1,6,2,4,2014-12-09 13:35:39,2014-12-09 13:38:37,2.97,0.6095,12.33,40.4,3,1,3,1,3,28.079519,1263.67,1,0,0,0,0,OTHER,HOME
3205715,1,7,3,1,2014-12-10 10:42:17,2014-12-10 11:09:33,27.27,15.8662,34.91,77.0,3,1,3,1,3,12.340217,521.78,1,0,0,0,0,HOME,OTHER
3205715,1,8,3,2,2014-12-10 19:51:20,2014-12-10 20:09:26,18.1,13.2855,44.04,83.9,3,1,3,1,3,7650.362079,0.0,1,0,0,0,0,OTHER,HOME
