sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3217202,1,1,1,1,2014-12-02 11:02:03,2014-12-02 11:07:27,5.4,1.6713,18.57,41.6,3,1,3,1,3,,4.7,1,0,0,0,0,OTHER,OTHER
3217202,1,2,1,2,2014-12-02 11:12:09,2014-12-02 11:18:01,5.87,1.2894,13.19,41.6,3,1,3,1,3,14.857935,38.78,1,0,0,0,0,OTHER,OTHER
3217202,1,3,1,3,2014-12-02 11:56:48,2014-12-02 12:01:37,4.82,1.4261,17.76,43.5,3,1,3,1,3,9.571426,88.08,1,0,0,0,0,OTHER,HOME
3217202,1,4,1,4,2014-12-02 13:29:42,2014-12-02 13:39:32,9.83,3.0553,18.64,43.5,3,1,3,1,3,39.281842,61.53,1,0,0,0,0,HOME,OTHER
3217202,1,5,1,5,2014-12-02 14:41:04,2014-12-02 14:51:21,10.28,3.0993,18.08,41.0,3,1,3,1,3,76.082178,252.52,1,0,0,0,0,OTHER,HOME
3217202,1,6,1,6,2014-12-02 19:03:52,2014-12-02 19:07:28,3.6,1.091,18.18,32.9,3,1,3,1,3,14.059346,66.62,1,0,0,0,0,HOME,OTHER
3217202,1,7,1,7,2014-12-02 20:14:05,2014-12-02 20:18:03,3.97,1.1294,17.08,39.1,3,1,3,1,3,213.90085,4.18,1,0,0,0,0,OTHER,HOME
3217202,1,8,1,8,2014-12-02 20:22:14,2014-12-02 20:27:39,5.42,1.7288,19.15,49.1,3,1,3,1,3,24.828809,45.33,1,0,0,0,0,HOME,OTHER
3217202,1,9,1,9,2014-12-02 21:12:59,2014-12-02 21:19:20,6.35,2.5485,24.08,42.3,3,1,3,1,3,5895.255736,783.22,1,0,0,0,0,OTHER,HOME
3217202,1,10,2,1,2014-12-03 10:22:33,2014-12-03 10:29:27,6.9,1.8345,15.95,44.7,3,2,"3,1",2,"1,3",2230.92558,11.2,1,0,0,0,0,OTHER,OTHER
3217202,1,11,2,2,2014-12-03 10:40:39,2014-12-03 10:50:00,9.35,2.6457,16.98,41.0,3,3,"1,3,1",2,"1,3",80.330799,6.73,1,0,0,0,0,OTHER,OTHER
3217202,1,12,2,3,2014-12-03 10:56:44,2014-12-03 11:01:58,5.23,0.997,11.43,41.0,3,2,"1,3",2,"1,3",149.529002,1401.73,1,0,0,0,0,OTHER,HOME
3217202,1,13,3,1,2014-12-04 10:23:42,2014-12-04 10:51:49,28.12,23.4112,49.96,72.7,3,2,"3,1",2,"1,3",3278.306257,30.65,1,0,0,0,0,OTHER,OTHER
3217202,1,14,3,2,2014-12-04 11:22:28,2014-12-04 11:57:51,35.38,20.037,33.98,71.5,3,2,"1,3",2,"1,3",82.721183,88.13,1,0,0,0,0,OTHER,HOME
3217202,1,15,3,3,2014-12-04 13:25:59,2014-12-04 13:30:31,4.53,1.1433,15.13,37.3,3,1,3,1,3,61.958823,68.52,1,0,0,0,0,HOME,OTHER
3217202,1,16,3,4,2014-12-04 14:39:02,2014-12-04 14:42:35,3.55,1.1178,18.89,42.9,3,1,3,1,3,16.453469,3.07,1,0,0,0,0,OTHER,HOME
3217202,1,17,3,5,2014-12-04 14:45:39,2014-12-04 14:49:36,3.95,1.1576,17.58,42.9,3,1,3,1,3,15.712737,13.53,1,0,0,0,0,HOME,OTHER
3217202,1,18,3,6,2014-12-04 15:03:08,2014-12-04 15:04:51,1.72,0.0566,1.98,2.5,1,1,1,1,1,20.730628,25.2,1,0,0,1,0,OTHER,OTHER
3217202,1,19,3,7,2014-12-04 15:30:03,2014-12-04 15:36:57,6.9,1.1581,10.07,44.1,3,2,"1,3",2,"1,3",88.609177,0.0,1,0,0,0,0,OTHER,HOME
