"Mean speed","Mean acceleration","Median speed","Max acceleration"
12.1057471264,0.0365967607973,12.4,3.1
15.6836734694,0.0624368858518,14.9,2.9
21.6621621622,-0.0381091617934,23.0,3.1
16.8935483871,0.00397151232728,17.4,2.9
13.580952381,0.0988717948718,15.5,6.4
12.6014925373,-0.000510510471685,13.0,3.3
15.6735849057,0.0724512391488,15.5,2.7
12.645,-0.100165139034,9.6,5.8
18.8450867052,0.0725245173473,18.6,2.7
25.465625,0.0711827956989,24.55,3.1
19.3586666667,-0.0657922482922,20.5,3.3
13.9118421053,-0.0193348260934,14.9,2.26666666667
11.4522727273,0.0523255813953,10.55,3.1
17.3013986014,0.0155937561766,19.3,3.13333333333
24.1236111111,0.126931000003,25.2,3.53333333333
19.9038961039,0.0469497238808,19.9,2.66666666667
23.7079646018,0.0757391436688,26.1,3.73333333333
19.6420454545,0.0361474771089,20.8,2.5
25.0925373134,0.164360639361,27.3,2.7
13.3443037975,0.0194718677924,14.3,2.46666666667
