sampno,perno,gpstripid,gpstravdayid,localid,time_local,gpsspeed
3230414,1,1,1,11,2014-12-04 07:03:12,1.2
3230414,1,1,1,12,2014-12-04 07:03:15,3.1
3230414,1,1,1,13,2014-12-04 07:03:22,9.3
3230414,1,1,1,14,2014-12-04 07:03:25,18.0
3230414,1,1,1,15,2014-12-04 07:03:28,20.5
3230414,1,1,1,16,2014-12-04 07:03:31,19.3
3230414,1,1,1,17,2014-12-04 07:03:34,12.4
3230414,1,1,1,18,2014-12-04 07:03:37,5.6
3230414,1,1,1,19,2014-12-04 07:03:40,13.7
3230414,1,1,1,20,2014-12-04 07:03:43,14.3
3230414,1,1,1,21,2014-12-04 07:03:46,5.6
3230414,1,1,1,22,2014-12-04 07:03:49,11.2
3230414,1,1,1,23,2014-12-04 07:03:52,20.5
3230414,1,1,1,24,2014-12-04 07:03:55,23.6
3230414,1,1,1,25,2014-12-04 07:03:58,21.1
3230414,1,1,1,26,2014-12-04 07:04:01,11.2
3230414,1,1,1,27,2014-12-04 07:04:06,1.9
3230414,1,1,1,28,2014-12-04 07:04:09,8.7
3230414,1,1,1,29,2014-12-04 07:04:12,20.5
3230414,1,1,1,30,2014-12-04 07:04:15,31.7
3230414,1,1,1,31,2014-12-04 07:04:18,31.1
3230414,1,1,1,32,2014-12-04 07:04:21,32.9
3230414,1,1,1,33,2014-12-04 07:04:24,35.4
3230414,1,1,1,34,2014-12-04 07:04:27,37.3
3230414,1,1,1,35,2014-12-04 07:04:30,38.5
3230414,1,1,1,36,2014-12-04 07:04:33,39.1
3230414,1,1,1,37,2014-12-04 07:04:36,39.1
3230414,1,1,1,38,2014-12-04 07:04:39,38.5
3230414,1,1,1,39,2014-12-04 07:04:42,37.9
3230414,1,1,1,40,2014-12-04 07:04:45,37.9
3230414,1,1,1,41,2014-12-04 07:04:48,39.8
3230414,1,1,1,42,2014-12-04 07:04:51,40.4
3230414,1,1,1,43,2014-12-04 07:04:54,40.4
3230414,1,1,1,44,2014-12-04 07:04:57,39.8
3230414,1,1,1,45,2014-12-04 07:05:00,39.8
3230414,1,1,1,46,2014-12-04 07:05:03,39.8
3230414,1,1,1,47,2014-12-04 07:05:06,39.1
3230414,1,1,1,48,2014-12-04 07:05:09,39.8
3230414,1,1,1,49,2014-12-04 07:05:12,39.1
3230414,1,1,1,50,2014-12-04 07:05:15,39.1
3230414,1,1,1,51,2014-12-04 07:05:18,38.5
3230414,1,1,1,52,2014-12-04 07:05:21,37.9
3230414,1,1,1,53,2014-12-04 07:05:27,36.0
3230414,1,1,1,54,2014-12-04 07:05:30,35.4
3230414,1,1,1,55,2014-12-04 07:05:33,36.0
3230414,1,1,1,56,2014-12-04 07:05:36,37.3
3230414,1,1,1,57,2014-12-04 07:05:39,38.5
3230414,1,1,1,58,2014-12-04 07:05:42,38.5
3230414,1,1,1,59,2014-12-04 07:05:45,38.5
3230414,1,1,1,60,2014-12-04 07:05:48,38.5
3230414,1,1,1,61,2014-12-04 07:05:51,37.9
3230414,1,1,1,62,2014-12-04 07:05:54,37.9
3230414,1,1,1,63,2014-12-04 07:05:57,37.9
3230414,1,1,1,64,2014-12-04 07:06:00,37.3
3230414,1,1,1,65,2014-12-04 07:06:03,36.7
3230414,1,1,1,66,2014-12-04 07:06:06,32.3
3230414,1,1,1,67,2014-12-04 07:06:09,23.6
3230414,1,1,1,68,2014-12-04 07:06:12,13.7
3230414,1,1,1,69,2014-12-04 07:06:15,7.5
3230414,1,1,1,70,2014-12-04 07:06:18,1.2
3230414,1,1,1,71,2014-12-04 07:07:02,3.1
3230414,1,1,1,72,2014-12-04 07:07:05,15.5
3230414,1,1,1,73,2014-12-04 07:07:08,23.6
3230414,1,1,1,74,2014-12-04 07:07:11,28.6
3230414,1,1,1,75,2014-12-04 07:07:14,32.3
3230414,1,1,1,76,2014-12-04 07:07:17,34.2
3230414,1,1,1,77,2014-12-04 07:07:20,36.0
3230414,1,1,1,78,2014-12-04 07:07:23,35.4
3230414,1,1,1,79,2014-12-04 07:07:26,34.2
3230414,1,1,1,80,2014-12-04 07:07:29,33.6
3230414,1,1,1,81,2014-12-04 07:07:32,32.3
3230414,1,1,1,82,2014-12-04 07:07:35,31.1
3230414,1,1,1,83,2014-12-04 07:07:38,26.7
3230414,1,1,1,84,2014-12-04 07:07:41,19.9
